Code du département;Libellé du département;Libellé de la section électorale;Code de la commune;Libellé de la commune;Code du b.vote;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N°Liste;Nuance Liste;Libellé Abrégé Liste;Libellé Etendu Liste;Nom Tête de Liste;Voix;% Voix/Ins;% Voix/Exp;Code Officiel EPCI;Nom Officiel EPCI;Code Officiel Région;Nom Officiel Région;Localisation
44;Loire-Atlantique;Loire-Atlantique;44056;Fay-de-Bretagne;1;821;583;71,01;238;28,99;10;1.22;4.2;3;0.37;1.26;225;27.41;94.54;6;LDSV;DEBOUT LES PDL;Debout les Pays de la loire-liste d'union;BAYLE DE JESSÉ Cécile;7;0.85;3.11;244400503;CC d'Erdre et Gesvres;52;Pays de la Loire;47.414199,-1.790788
44;Loire-Atlantique;Loire-Atlantique;44056;Fay-de-Bretagne;3;852;608;71,36;244;28,64;7;0.82;2.87;4;0.47;1.64;233;27.35;95.49;1;LUGE;L'ECOLOGIE ENSEMBLE, SOLI;L'ECOLOGIE ENSEMBLE, SOLIDAIRE ET CITOYENNE;ORPHELIN Matthieu;75;8.8;32.19;244400503;CC d'Erdre et Gesvres;52;Pays de la Loire;47.414199,-1.790788
44;Loire-Atlantique;Loire-Atlantique;44058;Fercé;1;340;239;70,29;101;29,71;5;1.47;4.95;1;0.29;0.99;95;27.94;94.06;3;LDIV;UN NÔTRE MONDE;UN NÔTRE MONDE PAYS DE LA LOIRE;RIGAUDEAU Linda;1;0.29;1.05;200072726;CC Châteaubriant-Derval;52;Pays de la Loire;
44;Loire-Atlantique;Loire-Atlantique;44064;Gorges;1;1107;768;69,38;339;30,62;15;1.36;4.42;4;0.36;1.18;320;28.91;94.4;1;LUGE;L'ECOLOGIE ENSEMBLE, SOLI;L'ECOLOGIE ENSEMBLE, SOLIDAIRE ET CITOYENNE;ORPHELIN Matthieu;62;5.6;19.38;200067635;CA Clisson Sèvre et Maine Agglo;52;Pays de la Loire;
44;Loire-Atlantique;Loire-Atlantique;44064;Gorges;2;1067;721;67,57;346;32,43;6;0.56;1.73;8;0.75;2.31;332;31.12;95.95;4;LUC;REGION TOUS LES PROGRES;LA REGION DE TOUS LES PROGRES;DE RUGY François;58;5.44;17.47;200067635;CA Clisson Sèvre et Maine Agglo;52;Pays de la Loire;
44;Loire-Atlantique;Loire-Atlantique;44067;Guémené-Penfao;1;873;620;71,02;253;28,98;4;0.46;1.58;7;0.8;2.77;242;27.72;95.65;1;LUGE;L'ECOLOGIE ENSEMBLE, SOLI;L'ECOLOGIE ENSEMBLE, SOLIDAIRE ET CITOYENNE;ORPHELIN Matthieu;38;4.35;15.7;243500741;CA Redon Agglomération;52;Pays de la Loire;47.633991,-1.834234
44;Loire-Atlantique;Loire-Atlantique;44067;Guémené-Penfao;1;873;620;71,02;253;28,98;4;0.46;1.58;7;0.8;2.77;242;27.72;95.65;6;LDSV;DEBOUT LES PDL;Debout les Pays de la loire-liste d'union;BAYLE DE JESSÉ Cécile;4;0.46;1.65;243500741;CA Redon Agglomération;52;Pays de la Loire;47.633991,-1.834234
44;Loire-Atlantique;Loire-Atlantique;44067;Guémené-Penfao;3;980;641;65,41;339;34,59;10;1.02;2.95;8;0.82;2.36;321;32.76;94.69;5;LUCD;UNION DE LA DROITE ET DU;UNION DE LA DROITE ET DU CENTRE;MORANÇAIS Christelle;105;10.71;32.71;243500741;CA Redon Agglomération;52;Pays de la Loire;47.633991,-1.834234
44;Loire-Atlantique;Loire-Atlantique;44067;Guémené-Penfao;4;534;356;66,67;178;33,33;8;1.5;4.49;1;0.19;0.56;169;31.65;94.94;7;LUG;PRINTEMPS DES PDL;Printemps des Pays de la Loire;GAROT Guillaume;22;4.12;13.02;243500741;CA Redon Agglomération;52;Pays de la Loire;47.628893,-1.834374
44;Loire-Atlantique;Loire-Atlantique;44067;Guémené-Penfao;5;397;237;59,7;160;40,3;8;2.02;5.0;3;0.76;1.88;149;37.53;93.13;4;LUC;REGION TOUS LES PROGRES;LA REGION DE TOUS LES PROGRES;DE RUGY François;9;2.27;6.04;243500741;CA Redon Agglomération;52;Pays de la Loire;47.633991,-1.834234
44;Loire-Atlantique;Loire-Atlantique;44068;Guenrouet;1;678;461;67,99;217;32,01;3;0.44;1.38;5;0.74;2.3;209;30.83;96.31;4;LUC;REGION TOUS LES PROGRES;LA REGION DE TOUS LES PROGRES;DE RUGY François;23;3.39;11.0;200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;52;Pays de la Loire;47.519701,-1.954999
44;Loire-Atlantique;Loire-Atlantique;44068;Guenrouet;2;684;464;67,84;220;32,16;10;1.46;4.55;9;1.32;4.09;201;29.39;91.36;1;LUGE;L'ECOLOGIE ENSEMBLE, SOLI;L'ECOLOGIE ENSEMBLE, SOLIDAIRE ET CITOYENNE;ORPHELIN Matthieu;52;7.6;25.87;200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;52;Pays de la Loire;47.519701,-1.954999
44;Loire-Atlantique;Loire-Atlantique;44069;Guérande;2;806;487;60,42;319;39,58;5;0.62;1.57;6;0.74;1.88;308;38.21;96.55;5;LUCD;UNION DE LA DROITE ET DU;UNION DE LA DROITE ET DU CENTRE;MORANÇAIS Christelle;96;11.91;31.17;244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);52;Pays de la Loire;47.336774,-2.463886
44;Loire-Atlantique;Loire-Atlantique;44069;Guérande;3;1001;714;71,33;287;28,67;6;0.6;2.09;0;0.0;0.0;281;28.07;97.91;5;LUCD;UNION DE LA DROITE ET DU;UNION DE LA DROITE ET DU CENTRE;MORANÇAIS Christelle;87;8.69;30.96;244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);52;Pays de la Loire;47.356244,-2.369493
44;Loire-Atlantique;Loire-Atlantique;44069;Guérande;8;805;564;70,06;241;29,94;7;0.87;2.9;3;0.37;1.24;231;28.7;95.85;5;LUCD;UNION DE LA DROITE ET DU;UNION DE LA DROITE ET DU CENTRE;MORANÇAIS Christelle;71;8.82;30.74;244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);52;Pays de la Loire;47.327897,-2.422098
44;Loire-Atlantique;Loire-Atlantique;44069;Guérande;12;981;707;72,07;274;27,93;6;0.61;2.19;8;0.82;2.92;260;26.5;94.89;5;LUCD;UNION DE LA DROITE ET DU;UNION DE LA DROITE ET DU CENTRE;MORANÇAIS Christelle;92;9.38;35.38;244400610;CA de la Presqu'île de Guérande Atlantique (Cap Atlantique);52;Pays de la Loire;47.329944,-2.419343
